T11,Expenditure on health,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
458,Malaysia,2015,Current health expenditure (% of GDP),3.8,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
458,Malaysia,2020,Current health expenditure (% of GDP),4.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
458,Malaysia,2021,Current health expenditure (% of GDP),4.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
458,Malaysia,2022,Current health expenditure (% of GDP),3.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
458,Malaysia,2005,Domestic general government health expenditure (% of total government expenditure),5.6,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
458,Malaysia,2010,Domestic general government health expenditure (% of total government expenditure),6.3,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
458,Malaysia,2015,Domestic general government health expenditure (% of total government expenditure),8.2,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
458,Malaysia,2020,Domestic general government health expenditure (% of total government expenditure),8.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
458,Malaysia,2021,Domestic general government health expenditure (% of total government expenditure),10.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
458,Malaysia,2022,Domestic general government health expenditure (% of total government expenditure),8.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
462,Maldives,2005,Current health expenditure (% of GDP),8.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
462,Maldives,2010,Current health expenditure (% of GDP),8.5,Break in the time series.;Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
462,Maldives,2015,Current health expenditure (% of GDP),8.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
462,Maldives,2020,Current health expenditure (% of GDP),11.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
462,Maldives,2021,Current health expenditure (% of GDP),10.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
462,Maldives,2022,Current health expenditure (% of GDP),9.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
462,Maldives,2005,Domestic general government health expenditure (% of total government expenditure),7.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
462,Maldives,2010,Domestic general government health expenditure (% of total government expenditure),13.5,Break in the time series.;Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
462,Maldives,2015,Domestic general government health expenditure (% of total government expenditure),18.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
462,Maldives,2020,Domestic general government health expenditure (% of total government expenditure),18.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
462,Maldives,2021,Domestic general government health expenditure (% of total government expenditure),18.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
462,Maldives,2022,Domestic general government health expenditure (% of total government expenditure),18.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
466,Mali,2005,Current health expenditure (% of GDP),5.2,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
466,Mali,2010,Current health expenditure (% of GDP),4.7,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
466,Mali,2015,Current health expenditure (% of GDP),4.1,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
466,Mali,2020,Current health expenditure (% of GDP),3.5,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
466,Mali,2021,Current health expenditure (% of GDP),3.5,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
466,Mali,2022,Current health expenditure (% of GDP),3.7,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
466,Mali,2005,Domestic general government health expenditure (% of total government expenditure),6.5,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
466,Mali,2010,Domestic general government health expenditure (% of total government expenditure),3.3,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
466,Mali,2015,Domestic general government health expenditure (% of total government expenditure),4.4,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
466,Mali,2020,Domestic general government health expenditure (% of total government expenditure),5.4,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
466,Mali,2021,Domestic general government health expenditure (% of total government expenditure),5.0,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
466,Mali,2022,Domestic general government health expenditure (% of total government expenditure),5.7,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
470,Malta,2005,Current health expenditure (% of GDP),8.7,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
470,Malta,2010,Current health expenditure (% of GDP),8.0,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
470,Malta,2015,Current health expenditure (% of GDP),8.9,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
470,Malta,2020,Current health expenditure (% of GDP),10.6,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
470,Malta,2021,Current health expenditure (% of GDP),10.4,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
470,Malta,2022,Current health expenditure (% of GDP),9.5,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
